,PID,Department,Name,ID,Instrument Breakdown Date,Contact Time,Suport Time,Complete Time,Type,Detail,Action,Offline/ Online Support,Suport Persion,Contact Persion,Current Status,Note,Test affected during breakdown (yes/No),Name of the test affected,No of test affected,Image,File,Unnamed: 21
11,0be204a6,GLP,Tosho Connect Module,TOS-01,2023-07-27 09:00:00,2023-07-27 09:00:00,2023-07-27 09:00:00,2023-07-27 10:00:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Hoàng,BME,Done,,0.0,,,report_Images/0be204a6.Image.090323.png,report_Files_/0be204a6.File.090323.pdf,
12,756ddbe6,GLP,Bulk Loader Module,BLM,2023-07-26 09:00:00,2023-07-26 09:00:00,2023-07-26 09:00:00,2023-07-26 10:00:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Hoàng,BME,Done,,0.0,,,report_Images/756ddbe6.Image.092224.png,report_Files_/756ddbe6.File.092224.pdf,
13,b601195e,GLP,Decaper Module Double,DM-01,2023-07-26 09:00:00,2023-07-26 09:00:00,2023-07-26 09:00:00,2023-07-26 10:00:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Hoàng,BME,Done,,0.0,,,report_Images/b601195e.Image.092601.png,report_Files_/b601195e.File.092601.pdf,
14,f7087bf7,GLP,Tempus Module,IOM_TIO-01,2023-07-26 09:00:00,2023-07-26 09:00:00,2023-07-26 09:00:00,2023-07-26 10:00:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Hoàng,BME,Done,,0.0,,,report_Images/f7087bf7.Image.091733.png,report_Files_/f7087bf7.File.091733.pdf,
15,133cba5e,GLP,Tempus Module,IOM_TIO-02,2023-07-26 09:00:00,2023-07-26 09:00:00,2023-07-26 09:00:00,2023-07-26 10:00:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Hoàng,BME,Done,,0.0,,,report_Images/133cba5e.Image.092103.png,report_Files_/133cba5e.File.092103.pdf,
16,78d7cb02,GLP,Loader Module,LM-01,2023-07-26 09:00:00,2023-07-26 09:00:00,2023-07-26 09:00:00,2023-07-26 10:00:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Hoàng,BME,Done,,0.0,,,report_Images/78d7cb02.Image.091922.png,report_Files_/78d7cb02.File.091922.pdf,
17,9278bdc6,GLP,Remover Cap Module,REM-01,2023-07-26 09:00:00,2023-07-26 09:00:00,2023-07-26 09:00:00,2023-07-26 10:00:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Hoàng,BME,Done,,0.0,,,report_Images/9278bdc6.Image.092943.png,report_Files_/9278bdc6.File.092943.pdf,
18,b73351a2,GLP,Recapper Module,RM-01,2023-07-26 09:00:00,2023-07-26 09:00:00,2023-07-26 09:00:00,2023-07-26 10:00:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Hoàng,BME,Done,,0.0,,,report_Images/b73351a2.Image.092813.png,report_Files_/b73351a2.File.092813.pdf,
19,866fe204,AO,Tempus,Tempus600,2023-07-25 10:51:00,2023-07-25 10:52:00,2023-07-25 10:53:00,2023-07-25 11:10:00,Breakdown,Stuck sample in break,Take out and re-intialization,Offline,BME,BME,Follow up,,0.0,,,,,
20,6e098c95,GLP,Aliquoter Module,AM-01,2023-07-25 09:00:00,2023-07-25 09:00:00,2023-07-25 09:00:00,2023-07-25 10:00:00,Maintenance,Prevent Maintenance,,Offline,Mr. Hoàng,BME,Done,,0.0,,,report_Images/6e098c95.Image.102002.png,report_Files_/6e098c95.File.102002.pdf,
21,8e91e0f2,GLP,Centrifuge Module,CM-01,2023-07-25 09:00:00,2023-07-25 09:00:00,2023-07-25 09:00:00,2023-07-25 10:00:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Hoàng,BME,Done,,0.0,,,report_Images/8e91e0f2.Image.092324.png,report_Files_/8e91e0f2.File.092324.pdf,
22,88539b08,GLP,Centrifuge Module,CM-02,2023-07-25 09:00:00,2023-07-25 09:00:00,2023-07-25 09:00:00,2023-07-25 10:00:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Hoàng,BME,Done,,0.0,,,report_Images/88539b08.Image.091014.png,,
23,64b5d1a8,GLP,Centrifuge Module,CM-03,2023-07-25 09:00:00,2023-07-25 09:00:00,2023-07-25 09:00:00,2023-07-25 10:00:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Hoàng,BME,Done,,0.0,,,report_Images/64b5d1a8.Image.090916.png,report_Files_/64b5d1a8.File.090916.pdf,
24,097a077c,GLP,Tube Assecssment Module,TAM,2023-07-25 09:00:00,2023-07-25 09:00:00,2023-07-25 09:00:00,2023-07-25 10:00:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Hoàng,BME,Done,,0.0,,,report_Images/097a077c.Image.091350.png,report_Files_/097a077c.File.091350.pdf,
25,24ba6eb2,GLP,Stramax Connect Module,STR-01,2023-07-24 13:52:00,2023-07-24 14:02:00,2023-07-24 14:32:00,2023-07-24 15:32:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Hoàng,BME,Done,,0.0,,,,report_Files_/24ba6eb2.File.083320.pdf,
26,b1f05e86,GLP,Input/ Output Module,IOM-03,2023-07-24 13:41:00,2023-07-24 13:51:00,2023-07-24 14:21:00,2023-07-24 15:21:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Hoàng,BME,Done,,0.0,,,report_Images/b1f05e86.Image.082340.png,report_Files_/b1f05e86.File.083104.pdf,
27,700858bc,GLP,Buffer Module,BM-01,2023-07-24 08:30:00,2023-07-24 08:30:00,2023-07-24 08:30:00,2023-07-24 10:30:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Hoàng,BME,Done,,0.0,,,report_Images/700858bc.Image.081807.png,,
28,3d4e650c,GLP,Buffer Module,BM-02,2023-07-24 08:30:00,2023-07-24 08:30:00,2023-07-24 08:30:00,2023-07-24 10:00:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Hoàng,BME,Done,,0.0,,,report_Images/3d4e650c.Image.081555.png,report_Files_/3d4e650c.File.083736.pdf,
29,05dd9c15,ELISA,DAR800,ELISA-02,2023-07-21 14:10:00,2023-07-21 14:10:00,2023-07-21 14:20:00,2023-07-21 16:00:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Bình,BME,Done,,0.0,,,,,
30,3fcc67b3,Microbiology,HeliFan Plus C13,HP-01,2023-07-21 14:10:00,2023-07-21 14:10:00,2023-07-21 14:20:00,2023-07-21 16:00:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Vinh,BME,Done,,0.0,,,,,
31,ccb66594,ELISA,DAW50,ELISA-01,2023-07-21 14:10:00,2023-07-21 14:10:00,2023-07-21 14:20:00,2023-07-21 15:52:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Bình,BME,Done,,0.0,,,,,
32,7bb4ace6,ELISA,DAW50TS,ELISA-03,2023-07-21 14:10:00,2023-07-21 14:10:00,2023-07-21 14:20:00,2023-07-21 15:52:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Bình,BME,Done,,0.0,,,,,
33,78583fa6,GLP,Input/ Output Module,IOM-02,2023-07-21 13:57:00,2023-07-21 14:07:00,2023-07-21 14:37:00,2023-07-21 15:37:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Hoàng,BME,Done,,0.0,,,,report_Files_/78583fa6.File.083801.pdf,
34,a4ec4c6d,GLP,Input/ Output Module,IOM-02,2023-07-21 13:55:00,2023-07-21 14:05:00,2023-07-21 14:35:00,2023-07-21 15:35:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Hoàng,BME,Done,,0.0,,,,report_Files_/a4ec4c6d.File.083539.pdf,
35,8e88b205,GLP,Tube Assecssment Center,TAC2,2023-07-21 13:53:00,2023-07-21 14:03:00,2023-07-21 14:33:00,2023-07-21 15:33:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Hoàng,BME,Done,,0.0,,,,report_Files_/8e88b205.File.083448.pdf,
36,957b4455,Hematology - Coagulation,STA R MAX 3,DM-03,2023-07-20 15:50:00,2023-07-20 16:00:00,2023-07-20 16:05:00,2023-07-20 16:30:00,Breakdown,Stucked cuvette,Clean cuvette pusher,Online,Mr. Huy,BME,Done,,0.0,,,,,
37,7a1da242,Cyto Lab,FUME HOOD,FH-01,2023-07-18 16:56:00,2023-07-18 16:56:00,2023-07-18 16:56:00,2023-07-18 17:36:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Tài,BME,Done,,0.0,,,,,
38,eac7e26e,Cyto Lab,OVEN,OVEN-01,2023-07-18 16:56:00,2023-07-18 16:56:00,2023-07-18 16:56:00,2023-07-18 17:36:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Tài,BME,Done,,0.0,,,,,
39,c19e1b3c,Bio-Immuno,Alinity C,AC-2,2023-07-18 14:01:00,2023-07-18 14:02:00,2023-07-18 14:05:00,2023-07-18 14:20:00,Breakdown,Optic error,Change lamp,Online,Mr. Vũ,BME,Done,,0.0,,,,,
40,34513,GLP,Cars and Track,CTR,2023-07-14 14:00:00,2023-07-14 14:00:00,2023-07-14 14:00:00,2023-07-14 15:00:00,Maintenance,Prevent maintenance,Maintenance,Offline,BME,,Done,,0.0,,,,,
41,88b44636,AO,Tempus,Tempus600,2023-07-14 08:15:00,2023-07-14 08:18:00,2023-07-14 08:48:00,2023-07-14 09:48:00,Breakdown,Tube not send on Carousel,"Clean sensor, carousel",Offline,BME,BME,Done,,0.0,,,,,
42,78dd6b7a,All,Sample Ladder,Lift,2023-07-13 13:46:00,2023-07-13 13:56:00,2023-07-13 14:26:00,2023-07-13 15:26:00,Breakdown,counterweight rope break,Connect cable,Offline,Mr. Lâm,BME,Done,,0.0,,,,,
43,a30d16c6,Bio-Immuno,Alinity I,AI-2,2023-07-13 11:43:00,2023-07-13 11:53:00,2023-07-13 12:00:00,2023-07-13 12:23:00,Breakdown,Board communication error,Change fuse,Offline,Mr. Hoàng,BME,Done,,0.0,,,,,
44,86aa6b27,AO,Tempus,Tempus600,2023-07-12 16:27:00,2023-07-13 10:37:00,2023-07-13 11:07:00,2023-07-13 12:07:00,Breakdown,Sending sensor error,Clean sensor and run test Programme,Offline,Mr. Hoàng,BME,Follow up,,0.0,,,report_Images/86aa6b27.Image.050912.jpg,,
45,c3a25f1f,Bio-Immuno,Alinity I,AI-1,2023-07-08 09:43:00,2023-07-08 09:45:00,2023-07-08 10:15:00,2023-07-08 10:43:00,Breakdown,Pre-trigger level sensor error,Change level sensor,Offline,Mr. Tuấn Anh,Ms. Trân,Follow up,,0.0,,,,,
46,46,GLP,Cars and Track,CTR,2023-07-07 14:00:00,2023-07-07 14:00:00,2023-07-07 14:00:00,2023-07-07 15:00:00,Maintenance,Prevent maintenance,Maintenance,Offline,BME,,Done,,0.0,,,,,
47,13f9b0bf,GLP,Centrifuge Module,CM-01,2023-07-06 15:00:00,2023-07-06 15:01:00,2023-07-06 15:05:00,2023-07-06 15:15:00,Breakdown,Finger cut through tube cap,Take out all tubes; clean and re init machine,Offline,BME,,Done,,0.0,,,report_Images/13f9b0bf.Image.081909.jpg,,
48,2fb942ae,Hematology - Coagulation,Tosoh HLC-723 G11 LA analyzer,HbA1c-02,2023-07-06 10:07:00,2023-07-06 10:17:00,2023-07-06 10:47:00,2023-07-06 11:47:00,Breakdown,Valve have error,"Check liquid line, valve and restart",Online,Mr. Trường,Mr. Lâm,Follow up,,0.0,,,,,
49,ef83697a,Hematology - Coagulation,Alinity H-series,Hq-1,2023-07-03 11:29:00,2023-07-03 11:39:00,2023-07-03 12:09:00,2023-07-03 13:09:00,Breakdown,WBC not normal,Clean WBC tank,Offline,Mr. Tới,BME,Follow up,,0.0,,,,,
50,65,GLP,Cars and Track,CTR,2023-06-30 17:00:00,2023-06-30 17:00:00,2023-06-30 17:00:00,2023-06-30 18:00:00,Maintenance,Prevent maintenance,Maintenance,Offline,BME,,Done,,0.0,,,,,
51,56456,GLP,Cars and Track,CTR,2023-06-23 17:00:00,2023-06-23 17:00:00,2023-06-23 17:00:00,2023-06-23 18:00:00,Maintenance,Prevent maintenance,Maintenance,Offline,BME,,Done,,0.0,,,,,
52,22e5e5af,Hematology - Coagulation,Alinity H-series,Hq-1,2023-06-23 14:52:00,2023-06-23 15:02:00,2023-06-23 15:32:00,2023-06-23 16:32:00,Breakdown,WBC low,Clean and check again,Offline,Mr. Trúc,Mr. Lâm,Done,,1.0,QC,6.0,,,
53,e7cc2366,Hematology - Coagulation,Alinity H-series,Hq-2,2023-06-23 14:01:00,2023-06-23 14:11:00,2023-06-23 14:41:00,2023-06-23 15:41:00,Breakdown,RBC QC fail,Change RBC factor,Offline,Ms. Phương,BME,Follow up,,0.0,,,,,
54,46efea6f,Molecular Biology,Agilent Microplate Centrifuge,MC-01,2023-06-23 13:06:00,2023-06-23 13:16:00,2023-06-23 13:46:00,2023-06-23 14:46:00,Maintenance,Prevent maintenance,Maintenance,Offline,BME,Ms. Nhân,Done,,0.0,,,,,
55,d6051536,Molecular Biology,Microplate Washer,MPW-01,2023-06-23 13:06:00,2023-06-23 13:16:00,2023-06-23 13:46:00,2023-06-23 14:46:00,Maintenance,Prevent maintenance,Maintenance,Offline,BME,Ms. Nhân,Done,,0.0,,,,,
56,b10b4ace,Molecular Biology,Automated Laboratory Plate Sealer,ALPS,2023-06-23 13:05:00,2023-06-23 13:15:00,2023-06-23 13:45:00,2023-06-23 14:45:00,Maintenance,Prevent maintenance,Maintenance,Offline,BME,Ms. Nhân,Done,,0.0,,,,,
57,0fb70e92,Molecular Biology,Bentrack,Ben,2023-06-23 13:05:00,2023-06-23 13:15:00,2023-06-23 13:45:00,2023-06-23 14:45:00,Maintenance,Prevent maintenance,Maintenance,Offline,BME,Ms. Nhân,Done,,0.0,,,,,
58,034afa29,Molecular Biology,Spinnaker Microplate Robot,Spinnaker,2023-06-23 13:05:00,2023-06-23 13:15:00,2023-06-23 13:45:00,2023-06-23 14:45:00,Maintenance,Prevent maintenance,Maintenance,Offline,BME,Ms. Nhân,Done,,0.0,,,,,
59,013ef831,Molecular Biology,KingFisher Presto,KFP-03,2023-06-23 13:04:00,2023-06-23 13:14:00,2023-06-23 13:44:00,2023-06-23 14:44:00,Maintenance,Prevent maintenance,Maintenance,Offline,BME,Ms. Nhân,Done,,0.0,,,,,
60,0ae59af1,Molecular Biology,KingFisher Presto,KFP-04,2023-06-23 13:04:00,2023-06-23 13:14:00,2023-06-23 13:44:00,2023-06-23 14:44:00,Maintenance,Prevent maintenance,Maintenance,Offline,BME,Ms. Nhân,Done,,0.0,,,,,
61,8ae508fe,Molecular Biology,MultiDrop ComBI,MDC-01,2023-06-23 13:04:00,2023-06-23 13:14:00,2023-06-23 13:44:00,2023-06-23 14:44:00,Maintenance,Prevent maintenance,Maintenance,Offline,BME,Ms. Nhân,Done,,0.0,,,,,
62,ab0922e9,Molecular Biology,MultiDrop ComBI,MDC-02,2023-06-23 13:04:00,2023-06-23 13:14:00,2023-06-23 13:44:00,2023-06-23 14:44:00,Maintenance,Prevent maintenance,Maintenance,Offline,BME,Ms. Nhân,Done,,0.0,,,,,
63,c0c02053,Molecular Biology,MultiDrop ComBI ,MDC-03,2023-06-23 13:04:00,2023-06-23 13:14:00,2023-06-23 13:44:00,2023-06-23 14:44:00,Maintenance,Prevent maintenance,Maintenance,Offline,BME,Ms. Nhân,Done,,0.0,,,,,
64,92bf04f8,Molecular Biology,KingFisher Presto,KFP-02,2023-06-23 13:03:00,2023-06-23 13:13:00,2023-06-23 13:43:00,2023-06-23 14:43:00,Maintenance,Prevent maintenance,Maintenance,Offline,BME,Ms. Nhân,Done,,0.0,,,,,
65,3957ffa7,Molecular Biology,KingFisher Presto,KFP-01,2023-06-23 12:59:00,2023-06-23 13:09:00,2023-06-23 13:39:00,2023-06-23 14:39:00,Maintenance,Prevent maintenance,Maintenance,Offline,BME,Ms. Nhân,Done,,0.0,,,,,
66,8b54985c,Bio-Immuno,Cobas e801 Analytical unit,MD-09,2023-06-23 07:50:00,2023-06-23 08:00:00,2023-06-23 09:30:00,2023-06-23 10:30:00,Breakdown,Reagent stuck,Take out and re-init reagent path,Offline,Mr.  Khang,BME,Follow up,,0.0,,,,,
67,67924cc0,GLP,Tempus Module,IOM_TIO-01,2023-06-22 14:41:00,2023-06-22 14:51:00,2023-06-22 15:21:00,2023-06-22 16:21:00,Breakdown,Change break part,Change new version of break,Offline,Mr. Hoàng,BME,Follow up,Test,0.0,,,report_Images/67924cc0.Image.092258.jpg,,
68,26e1ae55,Hematology - Coagulation,Alinity H-series,Hq-2,2023-06-21 14:03:00,2023-06-21 14:13:00,2023-06-21 14:43:00,2023-06-21 15:43:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Tới,BME,Done,,0.0,,,,,
69,093337c5,Hematology - Coagulation,Alinity H-series,Hq-1,2023-06-21 14:02:00,2023-06-21 14:12:00,2023-06-21 14:42:00,2023-06-21 15:42:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Tới,BME,Done,,0.0,,,,,
70,4dd9e8ed,Bio-Immuno,RO system Roche,RO-MB,2023-06-21 12:16:00,2023-06-21 12:26:00,2023-06-21 13:56:00,2023-06-21 14:56:00,Maintenance,Prevent maintenance,Change filter,Offline,Mr. Tín,BME,Done,,0.0,,,,,
71,f7b59e30,All,Sample Ladder,Lift,2023-06-20 09:33:00,2023-06-20 09:43:00,2023-06-20 10:13:00,2023-06-20 11:13:00,Breakdown,Can't move,Check and reset sensor,Offline,BG,BME,Done,,0.0,,,,,
72,dbb2ccf0,Bio-Immuno,Alinity I,AI-2,2023-06-20 07:00:00,2023-06-20 07:10:00,2023-06-20 07:20:00,2023-06-20 08:40:00,Breakdown,Sample probe bend,Change probe,Offline,Mr. Tới,BME,Done,,0.0,,,,,
73,3703345a,Hematology - Coagulation,Alinity H-series,Hq-2,2023-06-19 14:46:00,2023-06-19 14:56:00,2023-06-19 15:26:00,2023-06-19 16:26:00,Breakdown,Fluid entered buffer tank,"Change valve, clean buffer tank",Offline,Mr. Tới,Mr. Trung,Done,,1.0,QC,10.0,report_Images/3703345a.Image.092938.jpg,,
74,354,GLP,Cars and Track,CTR,2023-06-16 09:44:00,2023-06-16 09:44:00,2023-06-16 09:45:00,2023-06-16 11:14:00,Maintenance,Prevent maintenance,Maintenance,Offline,BME,,Done,,0.0,,,,,
75,41175c07,Hematology - Coagulation,Tosoh HLC-723 G11 analyzer,HbA1c-01,2023-06-15 15:45:00,2023-06-15 15:55:00,2023-06-15 16:25:00,2023-06-15 17:25:00,Maintenance,Prevent maintenance,Maintenance,Offline,Mr. Trường,BME,Follow up,,0.0,,,report_Images/41175c07.Image.102626.jpg,,
76,af9dde84,Hematology - Coagulation,Tosoh HLC-723 G11 LA analyzer,HbA1c-02,2023-06-15 15:43:00,2023-06-15 15:53:00,2023-06-15 16:23:00,2023-06-15 17:23:00,Maintenance,Prevent maintenance,Maintenance,Offline,Mr. Trường,BME,Follow up,,0.0,,,report_Images/af9dde84.Image.102513.jpg,,
77,6a08fc90,Hematology - Coagulation,Alinity H-series,Hq-2,2023-06-15 09:35:00,2023-06-15 09:45:00,2023-06-15 10:00:00,2023-06-15 16:15:00,Breakdown,QC WBC out of range,"Clean dilution cup, check tubing, run auto clean, run QC",Offline,Mr. Tới,BME,Follow up,Pass QC,0.0,,,report_Images/6a08fc90.Image.091843.jpg,,
78,4ab0d176,Microbiology,Previ color gram ,GR-01,2023-06-15 13:46:00,2023-06-15 13:56:00,2023-06-15 14:00:00,2023-06-15 14:30:00,Maintenance,Prevent maintenance,Maintenance,Offline,Mr. Trường,BME,Follow up,,0.0,,,report_Images/4ab0d176.Image.102820.jpg,,
79,d736ce8e,GLP,Tempus Module,IOM_TIO-01,2023-06-12 09:36:00,2023-06-12 09:46:00,2023-06-12 10:16:00,2023-06-12 11:16:00,Breakdown,Change rubber,Change Break's Rubber,Offline,BME,,Done,,0.0,,,,,
80,e0f2f4d9,GLP,Tempus Module,IOM_TIO-02,2023-06-12 09:35:00,2023-06-12 09:45:00,2023-06-12 10:15:00,2023-06-12 11:15:00,Breakdown,Change rubber,Change Break's Rubber,Offline,BME,,Done,,0.0,,,,,
81,3ce348cc,GLP,Cars and Track,CTR,2023-06-12 09:44:00,2023-06-12 09:44:00,2023-06-12 09:45:00,2023-06-12 11:14:00,Maintenance,Prevent maintenance,Maintenance,Offline,BME,,Done,,0.0,,,,,
82,57aa0b6d,Bio-Immuno,Cobas e801 Analytical unit,MD-09,2023-06-07 12:25:00,2023-06-07 12:30:00,2023-06-07 13:00:00,2023-06-07 14:15:00,Breakdown,Barcode read failed,Check and clean barcode reader; check sample barcode --> have error on barcode,Offline,Mr. Khang,BME,Follow up,Need to change barcode roll,0.0,,,report_Images/57aa0b6d.Image.041657.png,,
83,c056e822,GLP,Decaper Module Double,DM-01,2023-06-05 08:10:00,2023-06-05 08:10:00,2023-06-05 08:30:00,2023-06-06 14:50:00,Breakdown,"Car stuck on GLP --> AP failed, cut Car pins","Check AP, change car pins",Offline,"Mr. Trúc, Mr. Hoàng",BME,Done,,0.0,,,,,
84,3ce348cc,GLP,Cars and Track,CTR,2023-06-02 14:44:00,2023-06-02 14:44:00,2023-06-02 14:45:00,2023-06-02 15:14:00,Maintenance,Prevent maintenance,Maintenance,Offline,BME,,Done,,,,,,,
85,55a39892,Hematology - Coagulation,Alinity H-series,Hq-1,2023-06-02 08:35:00,2023-06-02 08:38:00,2023-06-02 09:05:00,2023-06-02 10:15:00,Breakdown,Result failed,Change sample needle,Online,Mr. Tới,BME,Done,,0.0,,,,,
86,1978e36a,Bio-Immuno,RO system Abbott,RO-HP,2023-05-30 14:08:00,2023-05-30 14:10:00,2023-05-30 14:30:00,2023-05-30 16:48:00,Breakdown,"Pressure pump have error, Prevent Maintenance","Change pump, filters",Offline,Mr. Tâm,BME,Done,,0.0,,,report_Images/1978e36a.Image.035159.png,,
87,dbaa31ba,Hematology - Coagulation,Automated Blood typing machine,ABO-01,2023-05-29 14:30:00,2023-05-29 02:30:00,2023-05-29 14:32:00,2023-05-29 16:51:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Điệu,BME,Done,,0.0,,,,,
88,407623c2,Hematology - Coagulation,Automated Blood typing machine,ABO-01,2023-05-29 14:04:00,2023-05-29 14:10:00,2023-05-29 14:45:00,2023-05-29 16:15:00,Maintenance,Prevent Maintenance,Clean; Check and calibration camera; Run Sample,Offline,Mr. Điệu,BME,Done,,0.0,,,report_Images/407623c2.Image.034716.png,,
89,f9302257,GLP,Tempus Module,IOM_TIO-01,2023-05-27 09:00:00,2023-05-27 09:01:00,2023-05-27 10:11:00,2023-05-27 10:45:00,Breakdown,Gripper finger broke,Change finger,Online,Mr. Hòang,BME,Done,,0.0,,,report_Images/f9302257.Image.035032.jpg,,
90,27053779,Bio-Immuno,Cobas e801 Analytical unit,MD-09,2023-05-26 13:00:00,2023-05-26 13:05:00,2023-05-26 14:30:00,2023-05-26 16:45:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Khang,BME,Done,,0.0,,,report_Images/27053779.Image.044700.png,,
91,0f970eff,GLP,Recapper Module,RM-01,2023-05-23 14:00:00,2023-05-23 14:03:00,2023-05-24 14:06:00,2023-05-26 14:20:00,Breakdown,Robot crash detected (Robot 1),Cleaned and lubricated recap head -> still failed -> change RM griper,Offline,Mr. Hoàng,BME,Done,803012411 24/05/2023 5210007482 24/05/2023 10 A05SFG.41365.01 26344503 RM GRIPPER UNIT S A44 1,0.0,,,report_Images/0f970eff.Image.035855.png,,
92,fc74f7ad,Bio-Immuno,Cobas8000 CORE MODULE,Core 4,2023-05-26 13:00:00,2023-05-26 13:00:00,2023-05-26 13:15:00,2023-05-26 14:15:00,Maintenance,Prevent Maintenance,Maintenance,Offline,Mr. Khang,BME,Done,,0.0,,,report_Images/fc74f7ad.Image.044323.png,,
