,Name,ID,Department,Major/Minor,Calibration Date/ Ngày hiệu chuẩn cuối,"Calibration frequency/ Lịch hiệu chuẩn
(year)",Calibration Due date/ Ngày hết hạn hiệu chuẩn,Expected date of calibration / Ngày dự kiến hiệu chuẩn,Status of Calibration
73,"Firlabo Incubator 37°C 
",TU-01,Microbiology,Major,2023-04-28 13:02:00,1.0,2024-04-27 13:02:00,2024-03-28 13:02:00,Done
74,Class II Biosafety Cabinet,BSC-01,Molecular Biology,Major,2023-04-28 15:39:00,1.0,2024-04-27 15:39:00,2024-03-28 15:39:00,Done
75,Class II Biosafety Cabinet,BSC-02,Molecular Biology,Major,2023-02-10 00:00:00,1.0,2024-02-10 00:00:00,2024-01-11 00:00:00,Done
76,Class II Biosafety Cabinet,BSC-03,Molecular Biology,Major,2023-02-10 00:00:00,1.0,2024-02-10 00:00:00,2024-01-11 00:00:00,Done
77,Refrigerator 2-8oC,CF-01,Molecular Biology,Major,2023-02-09 00:00:00,1.0,2024-02-09 00:00:00,2024-01-10 00:00:00,Done
78,Refrigerator 2-8oC,CF-02,Molecular Biology,Major,2023-02-09 00:00:00,1.0,2024-02-09 00:00:00,2024-01-10 00:00:00,Done
79,Refrigerator 2-8oC,CF-03,Molecular Biology,Major,2023-02-09 00:00:00,1.0,2024-02-09 00:00:00,2024-01-10 00:00:00,Done
80,Refrigerator -20oC,DF-01,Molecular Biology,Major,2023-02-09 00:00:00,1.0,2024-02-09 00:00:00,2024-01-10 00:00:00,Done
81,Refrigerator -70oC,DF-02,Molecular Biology,Major,2023-02-09 00:00:00,1.0,2024-02-09 00:00:00,2024-01-10 00:00:00,Done
82,Pipette 0.2-2ul,FAM002302_1,Molecular Biology,Minor,2023-02-10 00:00:00,1.0,2024-02-10 00:00:00,2024-01-11 00:00:00,Done
83,Pipette 0.2-2ul,FAM002302_2,Molecular Biology,Minor,2023-02-10 00:00:00,1.0,2024-02-10 00:00:00,2024-01-11 00:00:00,Done
84,Pipette 0.2-2ul,FAM002302_3,Molecular Biology,Minor,2023-02-10 00:00:00,1.0,2024-02-10 00:00:00,2024-01-11 00:00:00,Done
85,Pipette 100-1000ul,FAM002303,Molecular Biology,Minor,10/11/2021,1.0,2022-10-11 00:00:00,2022-09-11 00:00:00,Plan
86,Pipette 100-1000ul,FAM002303_1,Molecular Biology,Minor,2023-02-10 00:00:00,1.0,2024-02-10 00:00:00,2024-01-11 00:00:00,Done
87,Pipette 100-1000ul,FAM002303_2,Molecular Biology,Minor,2023-02-10 00:00:00,1.0,2024-02-10 00:00:00,2024-01-11 00:00:00,Done
88,Pipette 1-10ul,FAM002305_1,Molecular Biology,Minor,2023-02-10 00:00:00,1.0,2024-02-10 00:00:00,2024-01-11 00:00:00,Done
89,Pipette 1-10ul,FAM002305_2,Molecular Biology,Minor,2023-02-16 00:00:00,1.0,2024-02-16 00:00:00,2024-01-17 00:00:00,Done
90,Pipette 1-10ul,FAM002305_3,Molecular Biology,Minor,2023-02-16 00:00:00,1.0,2024-02-16 00:00:00,2024-01-17 00:00:00,Done
91,Pipette 20-200ul,FAM002306_1,Molecular Biology,Minor,2023-02-16 00:00:00,1.0,2024-02-16 00:00:00,2024-01-17 00:00:00,Done
92,Pipette 20-200ul,FAM002306_2,Molecular Biology,Minor,2023-02-16 00:00:00,1.0,2024-02-16 00:00:00,2024-01-17 00:00:00,Done
93,Pipette 20-200ul,FAM002306_3,Molecular Biology,Minor,2023-02-16 00:00:00,1.0,2024-02-16 00:00:00,2024-01-17 00:00:00,Done
94,Centrifuge,LT-01,Molecular Biology,Major,2023-04-28 13:55:00,1.0,2024-04-27 13:55:00,2024-03-28 13:55:00,Done
95,Cold Centrifuge,LT-02,Molecular Biology,Major,2023-02-11 00:00:00,1.0,2024-02-11 00:00:00,2024-01-12 00:00:00,Done
96,Agilent Microplate Centrifuge,MC-01,Molecular Biology,Major,2023-02-11 00:00:00,1.0,2024-02-11 00:00:00,2024-01-12 00:00:00,Done
97,Minispin,MS-01,Molecular Biology,Minor,2023-02-11 00:00:00,1.0,2024-02-11 00:00:00,2024-01-12 00:00:00,Done
98,Multi-tube Vortexer,MVT-01,Molecular Biology,Minor,2023-02-11 00:00:00,1.0,2024-02-11 00:00:00,2024-01-12 00:00:00,Done
99,Multi-tube Vortexer,MVT-02,Molecular Biology,Minor,2023-02-11 00:00:00,1.0,2024-02-11 00:00:00,2024-01-12 00:00:00,Done
100,Autoclaves,NH-04,Molecular Biology,Major,2023-02-09 00:00:00,1.0,2024-02-09 00:00:00,2024-01-10 00:00:00,Done
101,Water heating bath,NU-01,Molecular Biology,Major,2023-02-09 00:00:00,1.0,2024-02-09 00:00:00,2024-01-10 00:00:00,Done
102,Multichannel Pipette (5-50uL),PP-01,Molecular Biology,Minor,11/05/2021,1.0,2022-11-05 00:00:00,2022-10-06 00:00:00,Plan
103,Pipette 10-100uL,PP-02,Molecular Biology,Minor,2023-05-16 14:03:00,1.0,2024-05-15 14:03:00,2024-04-15 14:03:00,Done
104,Multichannel Pipette (30-300uL),PP-03,Molecular Biology,Minor,2023-05-16 13:18:00,1.0,2024-05-15 13:18:00,2024-04-15 13:18:00,Done
105,Multichannel Pipette (5-100uL),PP-04,Molecular Biology,Minor,2023-05-16 14:00:00,1.0,2024-05-15 14:00:00,2024-04-15 14:00:00,Done
106,Multichannel Pipette (5-50uL),PP-05,Molecular Biology,Minor,2023-05-16 13:20:00,1.0,2024-05-15 13:20:00,2024-04-15 13:20:00,Done
107,Thermo-hygrometer,TH-01,Molecular Biology,Minor,2023-02-10 00:00:00,1.0,2024-02-10 00:00:00,2024-01-11 00:00:00,Done
108,Thermo-hygrometer,TH-02,Molecular Biology,Minor,2023-02-10 00:00:00,1.0,2024-02-10 00:00:00,2024-01-11 00:00:00,Done
109,Thermo-hygrometer,TH-03,Molecular Biology,Minor,2023-02-10 00:00:00,1.0,2024-02-10 00:00:00,2024-01-11 00:00:00,Done
110,Thermo-hygrometer,TH-04,Molecular Biology,Minor,2023-02-10 00:00:00,1.0,2024-02-10 00:00:00,2024-01-11 00:00:00,Done
111,Refrigerator -20oC,TL-07,Molecular Biology,Major,2023-02-09 00:00:00,1.0,2024-02-09 00:00:00,2024-01-10 00:00:00,Done
112,Tempmate-M1 temperature data logger,TP-01,Molecular Biology,Minor,2023-02-10 00:00:00,1.0,2024-02-10 00:00:00,2024-01-11 00:00:00,Done
113,Tempmate-M1 temperature data logger,TP-02,Molecular Biology,Minor,2023-02-10 00:00:00,1.0,2024-02-10 00:00:00,2024-01-11 00:00:00,Done
114,Tempmate-M1 temperature data logger,TP-03,Molecular Biology,Minor,2023-02-10 00:00:00,1.0,2024-02-10 00:00:00,2024-01-11 00:00:00,Done
115,Temperature USB Datalogger ,TP-04,Molecular Biology,Minor,2023-02-10 00:00:00,1.0,2024-02-10 00:00:00,2024-01-11 00:00:00,Done
116,Temperature USB Datalogger ,TP-05,Molecular Biology,Minor,2023-02-10 00:00:00,1.0,2024-02-10 00:00:00,2024-01-11 00:00:00,Done
117,Mini vortexer,VT-01,Molecular Biology,Minor,2023-02-11 00:00:00,1.0,2024-02-11 00:00:00,2024-01-12 00:00:00,Done
118,Vortexter,VT-02,Molecular Biology,Minor,2023-02-11 00:00:00,1.0,2024-02-11 00:00:00,2024-01-12 00:00:00,Done
119,Thermal hygrometer,AK-03,R&D,Minor,2023-05-16 15:27:00,1.0,2024-05-15 15:27:00,2024-04-15 15:27:00,Done
120,Pipette 1-10ul,F2-PP10,R&D,Minor,2023-05-16 14:37:00,1.0,2024-05-15 14:37:00,2024-04-15 14:37:00,Done
121,Pipette 100-1000ul,F2-PP1000,R&D,Minor,2023-05-16 14:36:00,1.0,2024-05-15 14:36:00,2024-04-15 14:36:00,Done
122,Pipette 20-200ul,F2-PP200,R&D,Minor,2023-05-16 14:23:00,1.0,2024-05-15 14:23:00,2024-04-15 14:23:00,Done
123,Máy lắc Microplate,MP01,R&D,Minor,2023-04-28 13:55:00,1.0,2024-04-27 13:55:00,2024-03-28 13:55:00,Done
124,Electronic hygrometer,AKĐT-2,Warehouse,Minor,2023-02-10 00:00:00,1.0,2024-02-10 00:00:00,2024-01-11 00:00:00,Done
125,Cold warehouse,KHO-01,Warehouse,Major,2023-02-09 00:00:00,1.0,2024-02-09 00:00:00,2024-01-10 00:00:00,Done
126,Electronic thermometer,NKĐT-1,Warehouse,Minor,2023-02-10 00:00:00,1.0,2024-02-10 00:00:00,2024-01-11 00:00:00,Done
127,Refrigerator HAIER,TL-012,Warehouse,Major,2023-04-28 15:36:00,1.0,2024-04-27 15:36:00,2024-03-28 15:36:00,Done
